team_id,Row.names,FG%,3P%,TRB,AST,STL,BLK,TOV,PF,PTS,opFG%,op3P%,opTRB,opAST,opSTL,opBLK,opTOV,opPF,opPTS
18,Minnesota Timberwolves,0.49,0.365,0.3163265306122449,0.5135135135135135,0.5757575757575757,0.7500000000000001,0.21739130434782605,0.11904761904761896,0.5624999999999996,0.529,0.631,0.32758620689655127,0.5,0.21428571428571475,0.8750000000000001,0.72,0.5294117647058822,0.4506172839506174
19,New Orleans Pelicans,0.48,0.364,0.5000000000000003,0.47297297297297286,0.6666666666666669,0.3437499999999999,0.36956521739130443,0.38095238095238104,0.4375000000000004,0.528,0.661,0.8275862068965518,0.5250000000000004,0.5357142857142859,0.6249999999999999,0.6399999999999999,0.5882352941176467,0.6543209876543211
20,New York Knicks,0.47,0.354,0.7959183673469389,0.06756756756756754,0.0909090909090911,0.3437499999999999,0.7173913043478259,0.4285714285714285,0.5803571428571427,0.538,0.643,0.7931034482758618,0.47499999999999964,1.0,0.7083333333333333,0.17999999999999972,0.6764705882352939,0.6172839506172844
21,Oklahoma City Thunder,0.465,0.356,0.48979591836734715,0.2702702702702702,0.6363636363636361,0.37500000000000006,0.7173913043478259,0.2619047619047621,0.7142857142857141,0.526,0.642,0.0,0.27500000000000036,0.642857142857143,0.29166666666666674,1.0,0.5882352941176467,0.41358024691357986
22,Orlando Magic,0.47,0.346,0.4489795918367351,0.10810810810810817,0.3939393939393941,0.53125,0.26086956521739146,0.47619047619047583,0.1696428571428576,0.524,0.649,0.7931034482758618,0.27500000000000036,0.3928571428571429,0.4583333333333335,0.5799999999999997,0.6176470588235294,0.5617283950617284
23,Philadelphia 76ers,0.487,0.387,0.21428571428571433,0.37837837837837834,0.4848484848484849,0.53125,0.5652173913043479,0.4047619047619052,0.5089285714285715,0.527,0.652,0.9310344827586198,0.7000000000000002,0.7857142857142859,0.6666666666666667,0.5,0.35294117647058887,0.7530864197530862
24,Phoenix Suns,0.467,0.374,0.5510204081632657,0.6621621621621623,0.303030303030303,0.7187499999999999,0.6086956521739131,0.21428571428571463,0.366071428571428,0.534,0.643,0.6379310344827587,0.9000000000000004,0.5714285714285714,0.9166666666666666,0.5199999999999999,0.441176470588235,0.709876543209877
25,Portland Trail Blazers,0.474,0.365,0.17346938775510226,0.24324324324324326,0.18181818181818193,0.4999999999999999,0.39130434782608703,0.5,0.34821428571428614,0.509,0.621,0.5862068965517235,0.0,0.3571428571428573,0.7916666666666667,0.33999999999999986,0.6176470588235294,0.3518518518518514
26,Sacramento Kings,0.494,0.369,0.3775510204081634,0.6621621621621623,0.27272727272727276,0.12499999999999997,0.6086956521739131,0.5714285714285716,1.0,0.508,0.627,0.7586206896551716,0.07500000000000018,0.5357142857142859,0.8333333333333333,0.4799999999999997,0.7352941176470583,0.30864197530864224
27,San Antonio Spurs,0.465,0.345,0.5000000000000003,0.6486486486486486,0.27272727272727276,0.28124999999999994,0.21739130434782605,0.5238095238095242,0.31249999999999994,0.493,0.609,0.27586206896551724,0.04999999999999982,0.25000000000000033,0.3750000000000001,0.4,0.02941176470588275,0.0
28,Toronto Raptors,0.459,0.335,0.42857142857142866,0.20270270270270263,1.0,0.6875,1.0,0.5,0.303571428571429,0.509,0.626,0.7413793103448278,0.20000000000000018,1.0,0.6666666666666667,0.9799999999999998,0.35294117647058887,0.7222222222222221
29,Utah Jazz,0.473,0.353,0.7244897959183672,0.4864864864864865,0.0,0.6875,0.19565217391304346,0.38095238095238104,0.6785714285714279,0.527,0.639,0.5344827586206895,0.5,0.3571428571428573,0.5416666666666665,0.15999999999999978,0.6176470588235294,0.31481481481481466
30,Washington Wizards,0.485,0.356,0.48979591836734715,0.40540540540540526,0.21212121212121213,0.6875,0.4782608695652175,0.7857142857142854,0.330357142857143,0.527,0.634,0.6206896551724136,0.5499999999999998,0.6071428571428574,0.5,0.1,0.2941176470588234,0.5370370370370368
